Country;ISO3166_alpha3;lithium_kt;cobalt_kt;graphite_kt;rareearths_kt;Years
Algeria;DZA;0.0;0.0;0.0;0.0;1965
Algeria;DZA;0.0;0.0;0.0;0.0;1966
Algeria;DZA;0.0;0.0;0.0;0.0;1967
Algeria;DZA;0.0;0.0;0.0;0.0;1968
Algeria;DZA;0.0;0.0;0.0;0.0;1969
Algeria;DZA;0.0;0.0;0.0;0.0;1970
Algeria;DZA;0.0;0.0;0.0;0.0;1971
Algeria;DZA;0.0;0.0;0.0;0.0;1972
Algeria;DZA;0.0;0.0;0.0;0.0;1973
Algeria;DZA;0.0;0.0;0.0;0.0;1974
Algeria;DZA;0.0;0.0;0.0;0.0;1975
Algeria;DZA;0.0;0.0;0.0;0.0;1976
Algeria;DZA;0.0;0.0;0.0;0.0;1977
Algeria;DZA;0.0;0.0;0.0;0.0;1978
Algeria;DZA;0.0;0.0;0.0;0.0;1979
Algeria;DZA;0.0;0.0;0.0;0.0;1980
Algeria;DZA;0.0;0.0;0.0;0.0;1981
Algeria;DZA;0.0;0.0;0.0;0.0;1982
Algeria;DZA;0.0;0.0;0.0;0.0;1983
Algeria;DZA;0.0;0.0;0.0;0.0;1984
Algeria;DZA;0.0;0.0;0.0;0.0;1985
Algeria;DZA;0.0;0.0;0.0;0.0;1986
Algeria;DZA;0.0;0.0;0.0;0.0;1987
Algeria;DZA;0.0;0.0;0.0;0.0;1988
Algeria;DZA;0.0;0.0;0.0;0.0;1989
Algeria;DZA;0.0;0.0;0.0;0.0;1990
Algeria;DZA;0.0;0.0;0.0;0.0;1991
Algeria;DZA;0.0;0.0;0.0;0.0;1992
Algeria;DZA;0.0;0.0;0.0;0.0;1993
Algeria;DZA;0.0;0.0;0.0;0.0;1994
Algeria;DZA;0.0;0.0;0.0;0.0;1995
Algeria;DZA;0.0;0.0;0.0;0.0;1996
Algeria;DZA;0.0;0.0;0.0;0.0;1997
Algeria;DZA;0.0;0.0;0.0;0.0;1998
Algeria;DZA;0.0;0.0;0.0;0.0;1999
Algeria;DZA;0.0;0.0;0.0;0.0;2000
Algeria;DZA;0.0;0.0;0.0;0.0;2001
Algeria;DZA;0.0;0.0;0.0;0.0;2002
Algeria;DZA;0.0;0.0;0.0;0.0;2003
Algeria;DZA;0.0;0.0;0.0;0.0;2004
Algeria;DZA;0.0;0.0;0.0;0.0;2005
Algeria;DZA;0.0;0.0;0.0;0.0;2006
Algeria;DZA;0.0;0.0;0.0;0.0;2007
Algeria;DZA;0.0;0.0;0.0;0.0;2008
Algeria;DZA;0.0;0.0;0.0;0.0;2009
Algeria;DZA;0.0;0.0;0.0;0.0;2010
Algeria;DZA;0.0;0.0;0.0;0.0;2011
Algeria;DZA;0.0;0.0;0.0;0.0;2012
Algeria;DZA;0.0;0.0;0.0;0.0;2013
Algeria;DZA;0.0;0.0;0.0;0.0;2014
Algeria;DZA;0.0;0.0;0.0;0.0;2015
Algeria;DZA;0.0;0.0;0.0;0.0;2016
Algeria;DZA;0.0;0.0;0.0;0.0;2017
Algeria;DZA;0.0;0.0;0.0;0.0;2018
Algeria;DZA;0.0;0.0;0.0;0.0;2019
Angola;AGO;0.0;0.0;0.0;0.0;1965
Angola;AGO;0.0;0.0;0.0;0.0;1966
Angola;AGO;0.0;0.0;0.0;0.0;1967
Angola;AGO;0.0;0.0;0.0;0.0;1968
Angola;AGO;0.0;0.0;0.0;0.0;1969
Angola;AGO;0.0;0.0;0.0;0.0;1970
Angola;AGO;0.0;0.0;0.0;0.0;1971
Angola;AGO;0.0;0.0;0.0;0.0;1972
Angola;AGO;0.0;0.0;0.0;0.0;1973
Angola;AGO;0.0;0.0;0.0;0.0;1974
Angola;AGO;0.0;0.0;0.0;0.0;1975
Angola;AGO;0.0;0.0;0.0;0.0;1976
Angola;AGO;0.0;0.0;0.0;0.0;1977
Angola;AGO;0.0;0.0;0.0;0.0;1978
Angola;AGO;0.0;0.0;0.0;0.0;1979
Angola;AGO;0.0;0.0;0.0;0.0;1980
Angola;AGO;0.0;0.0;0.0;0.0;1981
Angola;AGO;0.0;0.0;0.0;0.0;1982
Angola;AGO;0.0;0.0;0.0;0.0;1983
Angola;AGO;0.0;0.0;0.0;0.0;1984
Angola;AGO;0.0;0.0;0.0;0.0;1985
Angola;AGO;0.0;0.0;0.0;0.0;1986
Angola;AGO;0.0;0.0;0.0;0.0;1987
Angola;AGO;0.0;0.0;0.0;0.0;1988
Angola;AGO;0.0;0.0;0.0;0.0;1989
Angola;AGO;0.0;0.0;0.0;0.0;1990
Angola;AGO;0.0;0.0;0.0;0.0;1991
Angola;AGO;0.0;0.0;0.0;0.0;1992
Angola;AGO;0.0;0.0;0.0;0.0;1993
Angola;AGO;0.0;0.0;0.0;0.0;1994
Angola;AGO;0.0;0.0;0.0;0.0;1995
Angola;AGO;0.0;0.0;0.0;0.0;1996
Angola;AGO;0.0;0.0;0.0;0.0;1997
Angola;AGO;0.0;0.0;0.0;0.0;1998
Angola;AGO;0.0;0.0;0.0;0.0;1999
Angola;AGO;0.0;0.0;0.0;0.0;2000
Angola;AGO;0.0;0.0;0.0;0.0;2001
Angola;AGO;0.0;0.0;0.0;0.0;2002
Angola;AGO;0.0;0.0;0.0;0.0;2003
Angola;AGO;0.0;0.0;0.0;0.0;2004
Angola;AGO;0.0;0.0;0.0;0.0;2005
Angola;AGO;0.0;0.0;0.0;0.0;2006
Angola;AGO;0.0;0.0;0.0;0.0;2007
Angola;AGO;0.0;0.0;0.0;0.0;2008
Angola;AGO;0.0;0.0;0.0;0.0;2009
Angola;AGO;0.0;0.0;0.0;0.0;2010
Angola;AGO;0.0;0.0;0.0;0.0;2011
Angola;AGO;0.0;0.0;0.0;0.0;2012
Angola;AGO;0.0;0.0;0.0;0.0;2013
Angola;AGO;0.0;0.0;0.0;0.0;2014
Angola;AGO;0.0;0.0;0.0;0.0;2015
Angola;AGO;0.0;0.0;0.0;0.0;2016
Angola;AGO;0.0;0.0;0.0;0.0;2017
Angola;AGO;0.0;0.0;0.0;0.0;2018
Angola;AGO;0.0;0.0;0.0;0.0;2019
Argentina;ARG;0.0;0.0;0.0;0.0;1965
Argentina;ARG;0.0;0.0;0.0;0.0;1966
Argentina;ARG;0.0;0.0;0.0;0.0;1967
Argentina;ARG;0.0;0.0;0.0;0.0;1968
Argentina;ARG;0.0;0.0;0.0;0.0;1969
Argentina;ARG;0.0;0.0;0.0;0.0;1970
Argentina;ARG;0.0;0.0;0.0;0.0;1971
Argentina;ARG;0.0;0.0;0.0;0.0;1972
Argentina;ARG;0.0;0.0;0.0;0.0;1973
Argentina;ARG;0.0;0.0;0.0;0.0;1974
Argentina;ARG;0.0;0.0;0.0;0.0;1975
Argentina;ARG;0.0;0.0;0.0;0.0;1976
Argentina;ARG;0.0;0.0;0.0;0.0;1977
Argentina;ARG;0.0;0.0;0.0;0.0;1978
Argentina;ARG;0.0;0.0;0.0;0.0;1979
